Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,amount
Department of Health,Guys and St Thomas NHS Foundation Trust,09/10/2020,(50200) Consultants,(id:2002419) Cancer Supportive Services and R&D,KINGS COLLEGE LONDON:03529700,id:13288096   ,299.67
Department of Health,Guys and St Thomas NHS Foundation Trust,16/10/2020,(84400) Transport,(id:42276) Cancer Supportive Services and R&D,CITYSPRINT (UK) LTD,id:13383414  ,563.06
Department of Health,Guys and St Thomas NHS Foundation Trust,02/10/2020,(89000) Other - Training courses and conferences,(id:42245) Cancer Supportive Services and R&D,ETC VENUES LIMITED,id:13356676  ,450
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81100) Dressings,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13356014 ,70.46
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81700) Lab Equipment Purchase,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13356014   ,126.01
Department of Health,Guys and St Thomas NHS Foundation Trust,02/10/2020,(83610) IT Costs,(id:42267) Haematology,OFFICE DEPOT UK LTD,id:13329956 ,1036.6
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81100) Dressings,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13336014 ,485.32
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(83400) Office Equipment,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13356014    ,144.71
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(83400) Office Equipment,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13336014    ,68.3
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81700) Lab Equipment Purchase,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13336014   ,52.22
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81255) Medical Surgical Supplies & Equipment,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13356014   ,8.98
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(50200) Consultants,(id:42272) Haematology,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,id:13050599    ,6549
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81700) Lab Equipment Purchase,(id:42272) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13336014   ,339.06
Department of Health,Guys and St Thomas NHS Foundation Trust,02/10/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13342959 ,21057
Department of Health,Guys and St Thomas NHS Foundation Trust,09/10/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13361989 ,4102
Department of Health,Guys and St Thomas NHS Foundation Trust,09/10/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13361981 ,7827
Department of Health,Guys and St Thomas NHS Foundation Trust,09/10/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13361980 ,7927
Department of Health,Guys and St Thomas NHS Foundation Trust,09/10/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13361979 ,8227
Department of Health,Guys and St Thomas NHS Foundation Trust,09/10/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13375934 ,8447
Department of Health,Guys and St Thomas NHS Foundation Trust,16/10/2020,(80205) Drug Costs,(id:42273) Haematology,SHIRE PHARMACEUTICALS LTD,id:13383115   ,2860
Department of Health,Guys and St Thomas NHS Foundation Trust,09/10/2020,(50200) Consultants,(id:202405) Haematology,KINGS COLLEGE LONDON:03529700,id:13204194  ,12836.05
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81200) Medical Surgical Supplies & Equipment,(id:42258) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13336014  ,114.16
Department of Health,Guys and St Thomas NHS Foundation Trust,29/10/2020,(81900) Lab Equipment Purchase,(id:42261) Oncology Services,VIAPATH SERVICES LLP,id:13400294,1750
Department of Health,Guys and St Thomas NHS Foundation Trust,09/10/2020,(81000) Surgical Appliances,(id:42261) Oncology Services,MEDI UK LTD,id:13359163  ,251.38
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81200) Medical Surgical Supplies & Equipment,(id:42260) Oncology Services,KORN WALL LTD T/A KWICKSCREEN,id:13401540 ,2232
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81200) Medical Surgical Supplies & Equipment,(id:42260) Oncology Services,VYGON (UK) LTD,id:13384988 ,788.64
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(82800) Bedding & Linen,(id:42260) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13356014    ,323.97
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(82000) Provisions & Kitchens,(id:42260) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13356014   ,251.71
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81100) Dressings,(id:42260) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13356014,2073.53
Department of Health,Guys and St Thomas NHS Foundation Trust,16/10/2020,(83500) Furniture & Fittings,(id:42259) Oncology Services,TECHNIBLINDS LTD,id:13384796 ,667.2
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(82800) Bedding & Linen,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13356014    ,72.79
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(82800) Bedding & Linen,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13336014    ,65.11
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81700) Lab Equipment Purchase,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13336014  ,32.3
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(82800) Bedding & Linen,(id:42280) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13356014    ,63.94
Department of Health,Guys and St Thomas NHS Foundation Trust,09/10/2020,(50200) Consultants,(id:42280) Surgical Oncology,KINGS COLLEGE LONDON:03529700,id:13126194  ,15253.83
Department of Health,Guys and St Thomas NHS Foundation Trust,16/10/2020,(81200) Medical Surgical Supplies & Equipment,(id:42280) Surgical Oncology,SEBBIN UK LTD,id:13361178  ,6360
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81700) Lab Equipment Purchase,(id:42280) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13336014  ,30.08
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81700) Lab Equipment Purchase,(id:42280) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13356014  ,38.42
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(83400) Office Equipment,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13336014  ,202.38
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81700) Lab Equipment Purchase,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13356014 ,24.08
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81100) Dressings,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13336014    ,18.89
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81100) Dressings,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13356014    ,201.92
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81200) Medical Surgical Supplies & Equipment,(id:42474) Surgical Oncology,SHEFFMED TRADE SERVICES LTD,id:13383585   ,957.6
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81200) Medical Surgical Supplies & Equipment,(id:42474) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13356014  ,731.95
Department of Health,Guys and St Thomas NHS Foundation Trust,30/10/2020,(81200) Medical Surgical Supplies & Equipment,(id:42474) Surgical Oncology,GSTT PROCUREMENT CARD,id:13433842    ,57.12
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81400) Medical Surgical Supplies & Equipment,(id:42474) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13336014  ,22
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81100) Dressings,(id:42473) Surgical Oncology,SQUADRON MEDICAL LTD,id:13346636   ,69.83
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81200) Medical Surgical Supplies & Equipment,(id:42473) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13336014  ,3736.1
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81200) Medical Surgical Supplies & Equipment,(id:42473) Surgical Oncology,CCMED LTD,id:13395954 ,1293
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81200) Medical Surgical Supplies & Equipment,(id:42473) Surgical Oncology,KLS MARTIN UK LTD,id:13413197   ,1913.06
Department of Health,Guys and St Thomas NHS Foundation Trust,29/10/2020,(81200) Medical Surgical Supplies & Equipment,(id:42473) Surgical Oncology,MEDTRONIC LTD,id:13417612  ,619.2
Department of Health,Guys and St Thomas NHS Foundation Trust,02/10/2020,(81200) Medical Surgical Supplies & Equipment,(id:42473) Surgical Oncology,MEDTRONIC LTD,id:13319390  ,1046.4
Department of Health,Guys and St Thomas NHS Foundation Trust,02/10/2020,(81200) Medical Surgical Supplies & Equipment,(id:42473) Surgical Oncology,MEDTRONIC LTD,id:13326639  ,964.8
Department of Health,Guys and St Thomas NHS Foundation Trust,02/10/2020,(81200) Medical Surgical Supplies & Equipment,(id:42473) Surgical Oncology,SQUADRON MEDICAL LTD,id:13338919,720.94
Department of Health,Guys and St Thomas NHS Foundation Trust,02/10/2020,(81200) Medical Surgical Supplies & Equipment,(id:42473) Surgical Oncology,STRYKER UK LTD,id:13346016 ,5700
Department of Health,Guys and St Thomas NHS Foundation Trust,16/10/2020,(81200) Medical Surgical Supplies & Equipment,(id:42473) Surgical Oncology,SQUADRON MEDICAL LTD,id:13344512,638.42
Department of Health,Guys and St Thomas NHS Foundation Trust,16/10/2020,(81200) Medical Surgical Supplies & Equipment,(id:42473) Surgical Oncology,STRYKER UK LTD,id:13362826 ,1800
Department of Health,Guys and St Thomas NHS Foundation Trust,23/10/2020,(81215) Medical Surgical Supplies & Equipment,(id:42475) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13336014  ,34769.48
Department of Health,Guys and St Thomas NHS Foundation Trust,09/10/2020,(81215) Medical Surgical Supplies & Equipment,(id:42475) Surgical Oncology,ADVANCED BIONICS SARL (AND UK LTD),id:13370474 ,7200
Department of Health,Guys and St Thomas NHS Foundation Trust,02/10/2020,(81225) Medical Surgical Supplies & Equipment,(id:42475) Surgical Oncology,COCHLEAR EUROPE LTD,id:13337839 ,4686
Department of Health,Guys and St Thomas NHS Foundation Trust,16/10/2020,(81400) Medical Surgical Supplies & Equipment,(id:42286) Surgical Oncology,KARL STORZ ENDOSCOPY UK LTD,id:13364414   ,705
Department of Health,Guys and St Thomas NHS Foundation Trust,29/10/2020,(81200) Medical Surgical Supplies & Equipment,(id:42286) Surgical Oncology,MEDTRONIC LTD,id:13417611  ,2303.28
Department of Health,Guys and St Thomas NHS Foundation Trust,16/10/2020,(81200) Medical Surgical Supplies & Equipment,(id:42286) Surgical Oncology,JOHNSON & JOHNSON MEDICAL LTD,id:13357166 ,585.94
