Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,amount
Department of Health,Guys and St Thomas NHS Foundation Trust,28/01/2021,(81400) Medical Surgical Supplies & Equipment,(id:850419) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13589614,154.87
Department of Health,Guys and St Thomas NHS Foundation Trust,15/01/2021,(81100) Dressings,(id:850419) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13544798   ,63.61
Department of Health,Guys and St Thomas NHS Foundation Trust,28/01/2021,(82600) Uniforms & Clothing,(id:850419) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13578141   ,1.52
Department of Health,Guys and St Thomas NHS Foundation Trust,08/01/2021,(81200) Medical Surgical Supplies & Equipment,(id:41900) TAP,ANETIC AID LTD,id:13578294,561.6
Department of Health,Guys and St Thomas NHS Foundation Trust,15/01/2021,(81700) Lab Equipment Purchase,(id:41897) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13559981 ,9.05
Department of Health,Guys and St Thomas NHS Foundation Trust,15/01/2021,(81100) Dressings,(id:41894) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13559981    ,56.21
Department of Health,Guys and St Thomas NHS Foundation Trust,15/01/2021,(81100) Dressings,(id:41894) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13544798    ,111.36
Department of Health,Guys and St Thomas NHS Foundation Trust,08/01/2021,(81280) Medical Surgical Supplies & Equipment,(id:41894) TAP,EDWARDS LIFESCIENCES LTD,id:13535137,1104
Department of Health,Guys and St Thomas NHS Foundation Trust,15/01/2021,(82800) Bedding & Linen,(id:41883) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13559981   ,361.99
Department of Health,Guys and St Thomas NHS Foundation Trust,15/01/2021,(81700) Lab Equipment Purchase,(id:41883) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13544798 ,40.51
Department of Health,Guys and St Thomas NHS Foundation Trust,15/01/2021,(81100) Dressings,(id:41883) TAP,ELIS UK LIMITED,id:13573834  ,1694.31
Department of Health,Guys and St Thomas NHS Foundation Trust,15/01/2021,(81100) Dressings,(id:41883) TAP,ELIS UK LIMITED,id:13550664  ,814.63
Department of Health,Guys and St Thomas NHS Foundation Trust,28/01/2021,(81100) Dressings,(id:41883) TAP,ELIS UK LIMITED,id:13696074  ,1769.81
Department of Health,Guys and St Thomas NHS Foundation Trust,28/01/2021,(81200) Medical Surgical Supplies & Equipment,(id:41883) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13589614 ,3053.23
Department of Health,Guys and St Thomas NHS Foundation Trust,08/01/2021,(81200) Medical Surgical Supplies & Equipment,(id:41883) TAP,JOHNSON & JOHNSON MEDICAL LTD,id:13574190,121.37
Department of Health,Guys and St Thomas NHS Foundation Trust,08/01/2021,(81200) Medical Surgical Supplies & Equipment,(id:41883) TAP,JOHNSON & JOHNSON MEDICAL LTD,id:13565063,136.17
Department of Health,Guys and St Thomas NHS Foundation Trust,28/01/2021,(81200) Medical Surgical Supplies & Equipment,(id:41883) TAP,JOHNSON & JOHNSON MEDICAL LTD,id:13585519,542.76
Department of Health,Guys and St Thomas NHS Foundation Trust,15/01/2021,(84500) Establishment,(id:41883) TAP,CDP  PRINT MANAGEMENT,id:13614396  ,3.6
Department of Health,Guys and St Thomas NHS Foundation Trust,15/01/2021,(81255) Medical Surgical Supplies & Equipment,(id:41883) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13544798 ,20.59
Department of Health,Guys and St Thomas NHS Foundation Trust,15/01/2021,(83400) Office Equipment,(id:41883) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13544798  ,1441.99
Department of Health,Guys and St Thomas NHS Foundation Trust,15/01/2021,(81200) Medical Surgical Supplies & Equipment,(id:41907) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13559981 ,1403.18
Department of Health,Guys and St Thomas NHS Foundation Trust,28/01/2021,(81200) Medical Surgical Supplies & Equipment,(id:41907) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13598214 ,977.06
Department of Health,Guys and St Thomas NHS Foundation Trust,15/01/2021,(81100) Dressings,(id:41907) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13544798    ,73.28
Department of Health,Guys and St Thomas NHS Foundation Trust,28/01/2021,(82600) Uniforms & Clothing,(id:41907) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13589614    ,2.16
Department of Health,Guys and St Thomas NHS Foundation Trust,28/01/2021,(83400) Office Equipment,(id:41907) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13578141  ,24.98
Department of Health,Guys and St Thomas NHS Foundation Trust,15/01/2021,(83400) Office Equipment,(id:41906) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13544798  ,593.44
Department of Health,Guys and St Thomas NHS Foundation Trust,28/01/2021,(83400) Office Equipment,(id:41906) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13589614  ,224.22
Department of Health,Guys and St Thomas NHS Foundation Trust,28/01/2021,(82800) Bedding & Linen,(id:41906) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13598214   ,11.16
Department of Health,Guys and St Thomas NHS Foundation Trust,28/01/2021,(81200) Medical Surgical Supplies & Equipment,(id:41906) TAP,INTERSURGICAL LTD,id:13664034  ,1056
Department of Health,Guys and St Thomas NHS Foundation Trust,28/01/2021,(82600) Uniforms & Clothing,(id:41906) TAP,BUNZL HEALTHCARE,id:13683774 ,1007.52
Department of Health,Guys and St Thomas NHS Foundation Trust,15/01/2021,(81200) Medical Surgical Supplies & Equipment,(id:41905) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13544798 ,8603.18
Department of Health,Guys and St Thomas NHS Foundation Trust,28/01/2021,(81200) Medical Surgical Supplies & Equipment,(id:41905) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13598214 ,1440.41
