Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,amount
Department of Health,Guys and St Thomas NHS Foundation Trust,06/11/2020,(89120) Other - Legal fees,(id:42276) Cancer Supportive Services and R&D,BEACHCROFT LLP OFFICE ACCOUNT,id:13451194   ,1142.5
Department of Health,Guys and St Thomas NHS Foundation Trust,13/11/2020,(82000) Provisions & Kitchens,(id:42279) Cancer Supportive Services and R&D,BEWLEYS TEA AND COFFEE LTD,id:13458556   ,403.44
Department of Health,Guys and St Thomas NHS Foundation Trust,06/11/2020,(81200) Medical Surgical Supplies & Equipment,(id:42277) Cancer Supportive Services and R&D,CORPTELUK,id:13430668    ,7.2
Department of Health,Guys and St Thomas NHS Foundation Trust,06/11/2020,(81200) Medical Surgical Supplies & Equipment,(id:42270) Haematology,TERUMO BCT EUROPE NV/SA  (PREVIOUSLY CARIDIAN),id:13433661,4169.38
Department of Health,Guys and St Thomas NHS Foundation Trust,13/11/2020,(81100) Dressings,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13400692 ,156.98
Department of Health,Guys and St Thomas NHS Foundation Trust,13/11/2020,(81700) Lab Equipment Purchase,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13361014   ,94.17
Department of Health,Guys and St Thomas NHS Foundation Trust,13/11/2020,(81700) Lab Equipment Purchase,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13385919   ,77.7
Department of Health,Guys and St Thomas NHS Foundation Trust,27/11/2020,(83500) Furniture & Fittings,(id:42270) Haematology,TECHNIBLINDS LTD,id:12991574  ,667.2
Department of Health,Guys and St Thomas NHS Foundation Trust,27/11/2020,(83610) IT Costs,(id:42267) Haematology,BUSINESS DICTATION LTD,id:13498401   ,1775.99
Department of Health,Guys and St Thomas NHS Foundation Trust,06/11/2020,(83610) IT Costs,(id:42267) Haematology,OFFICE DEPOT UK LTD,id:13392564 ,453.51
Department of Health,Guys and St Thomas NHS Foundation Trust,13/11/2020,(82000) Provisions & Kitchens,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13361014    ,272.06
Department of Health,Guys and St Thomas NHS Foundation Trust,13/11/2020,(82800) Bedding & Linen,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13400692,164.02
Department of Health,Guys and St Thomas NHS Foundation Trust,13/11/2020,(81200) Medical Surgical Supplies & Equipment,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13400692   ,1910.68
Department of Health,Guys and St Thomas NHS Foundation Trust,27/11/2020,(50522) Unqualified Nursing Staff,(id:42265) Haematology,CARE PROVIDERS HEALTHCARE,id:13510898   ,708.49
Department of Health,Guys and St Thomas NHS Foundation Trust,13/11/2020,(81255) Medical Surgical Supplies & Equipment,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13400692   ,2.16
Department of Health,Guys and St Thomas NHS Foundation Trust,13/11/2020,(82800) Bedding & Linen,(id:42272) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13385919,76.32
Department of Health,Guys and St Thomas NHS Foundation Trust,06/11/2020,(81000) Surgical Appliances,(id:42272) Haematology,MEDI UK LTD,id:13437755   ,53.57
Department of Health,Guys and St Thomas NHS Foundation Trust,06/11/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13449995 ,6127
Department of Health,Guys and St Thomas NHS Foundation Trust,06/11/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13450179 ,8127
Department of Health,Guys and St Thomas NHS Foundation Trust,13/11/2020,(80205) Drug Costs,(id:42273) Haematology,SHIRE PHARMACEUTICALS LTD,id:13467656   ,3760
Department of Health,Guys and St Thomas NHS Foundation Trust,13/11/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13456234 ,2323.4
Department of Health,Guys and St Thomas NHS Foundation Trust,13/11/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13456354 ,5509
Department of Health,Guys and St Thomas NHS Foundation Trust,26/11/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13505654 ,527
