Department,CCG,Date,Expense Area,Expense Type,Supplier,Transaction Number,Amount
Department of Health,NHS Central London CCG,30-Jun-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,32593327,"5,512,982.00"
Department of Health,NHS Central London CCG,,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION,,"1,815,750.00"
Department of Health,NHS Central London CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,32809749,"1,627,828.00"
Department of Health,NHS Central London CCG,30-Jun-20,Recharge : Received,COMMISSIONING RESERVE,WEST LONDON NHS TRUST,32663858,"1,500,000.00"
Department of Health,NHS Central London CCG,30-Jun-20,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,LONDON AMBULANCE SERVICE NHS TRUST,32768552,"1,122,152.00"
Department of Health,NHS Central London CCG,30-Jun-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,NHS HAMMERSMITH AND FULHAM CCG,32828820,"687,509.18"
Department of Health,NHS Central London CCG,30-Jun-20,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,NHS HAMMERSMITH AND FULHAM CCG,32850746,"674,495.15"
Department of Health,NHS Central London CCG,30-Jun-20,Clinical&Medical-Commercial Sector,URGENT CARE,NORTHERN DOCTORS URGENT CARE,32828787,"441,667.00"
Department of Health,NHS Central London CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,32809720,"397,848.00"
Department of Health,NHS Central London CCG,,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGS COLLEGE HEALTH CENTRE,,"355,125.96"
Department of Health,NHS Central London CCG,30-Jun-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,32828825,"288,184.77"
Department of Health,NHS Central London CCG,30-Jun-20,Recharge : Received,COMMISSIONING RESERVE,IMPERIAL COLLEGE HEALTH PARTNERS LTD,32850716,"274,666.80"
Department of Health,NHS Central London CCG,30-Jun-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,NHS HAMMERSMITH AND FULHAM CCG,32581388,"259,962.95"
Department of Health,NHS Central London CCG,30-Jun-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,ST JOHNS WOOD MEDICAL PRACTICE,32768569,"210,550.00"
Department of Health,NHS Central London CCG,30-Jun-20,Recharge : Provided,NON RECURRENT PROGRAMMES,SOHO SQUARE GENERAL PRACTICE,32704701,"206,296.63"
Department of Health,NHS Central London CCG,30-Jun-20,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,NHS HAMMERSMITH AND FULHAM CCG,32850743,"167,265.44"
Department of Health,NHS Central London CCG,30-Jun-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,NHS HAMMERSMITH AND FULHAM CCG,32828798,"154,825.31"
Department of Health,NHS Central London CCG,30-Jun-20,Clinical&Medical-Serv Recd-NHS Trst,COMMISSIONING RESERVE,LONDON NORTH WEST HEALTHCARE NHS TRUST,32704695,"142,408.00"
Department of Health,NHS Central London CCG,30-Jun-20,Basic Sal-Rechgs to-from Other NHS,CONTRACT MANAGEMENT,NHS BRENT CCG,32809819,"141,037.00"
Department of Health,NHS Central London CCG,30-Jun-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ST JOHNS WOOD MEDICAL PRACTICE,32768569,"133,881.66"
Department of Health,NHS Central London CCG,30-Jun-20,Income tax <1Yr,BALANCE SHEET,HMRC,32730105,"127,836.25"
Department of Health,NHS Central London CCG,30-Jun-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,VICTORIA MEDICAL CENTRE,32768574,"126,500.07"
Department of Health,NHS Central London CCG,30-Jun-20,Recharge : Received,COMMISSIONING RESERVE,IMPERIAL COLLEGE HEALTH PARTNERS LTD,32774343,"119,808.00"
Department of Health,NHS Central London CCG,30-Jun-20,Computer Software/License,THIRD PARTY HOSTED SERVICE 2,DOCOBO LTD,32768586,"116,001.00"
Department of Health,NHS Central London CCG,30-Jun-20,Computer Software/License,THIRD PARTY HOSTED SERVICE 2,DOCOBO LTD,32736759,"116,001.00"
Department of Health,NHS Central London CCG,30-Jun-20,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,SWPCH,32768569,"114,115.38"
Department of Health,NHS Central London CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,32599408,"113,311.00"
Department of Health,NHS Central London CCG,30-Jun-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,VICTORIA MEDICAL CENTRE,32768574,"112,473.85"
Department of Health,NHS Central London CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,32663848,"107,029.00"
Department of Health,NHS Central London CCG,30-Jun-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DOCTOR HICKEY SURGERY,32663835,"104,861.52"
Department of Health,NHS Central London CCG,30-Jun-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HOMELESS HEALTH CIC,32663860,"103,986.27"
Department of Health,NHS Central London CCG,30-Jun-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,PIMLICO HEALTH AT THE MARVEN SURGERY,32768582,"101,361.71"
Department of Health,NHS Central London CCG,30-Jun-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NEWTON MEDICAL CENTRE,32663849,"100,507.33"
Department of Health,NHS Central London CCG,30-Jun-20,Clinical&Medical-Voluntary Sector,MENTAL HEALTH SERVICES - SPECIALIST SERVICES,ONE HOUSING GROUP LTD,32740336,"100,477.00"
Department of Health,NHS Central London CCG,30-Jun-20,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,LONDON NORTH WEST HEALTHCARE NHS TRUST,32650672,"96,589.00"
Department of Health,NHS Central London CCG,30-Jun-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SOHO SQUARE GENERAL PRACTICE,32663853,"96,020.37"
Department of Health,NHS Central London CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL MARSDEN NHS FOUNDATION TRUST (THE),32695028,"88,639.00"
Department of Health,NHS Central London CCG,30-Jun-20,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,32730105,"84,991.49"
Department of Health,NHS Central London CCG,30-Jun-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,IMPERIAL COLLEGE HEALTH CENTRE,32774343,"84,013.07"
Department of Health,NHS Central London CCG,30-Jun-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,32918220,"77,492.24"
Department of Health,NHS Central London CCG,30-Jun-20,Clinical&Medical-Serv Recd-NHS Trst,COMMUNITY SERVICES,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,32850733,"73,406.00"
Department of Health,NHS Central London CCG,30-Jun-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,MARYLEBONE HEALTH CENTRE,32768561,"71,229.21"
Department of Health,NHS Central London CCG,30-Jun-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,LISSON GROVE HEALTH CENTRE,32663843,"64,736.54"
Department of Health,NHS Central London CCG,30-Jun-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR VICTORIA MUIRS PRACTICE,32768542,"64,145.56"
Department of Health,NHS Central London CCG,30-Jun-20,Recharge : Received,COMMISSIONING RESERVE,NHS BRENT CCG,32809819,"62,500.00"
Department of Health,NHS Central London CCG,30-Jun-20,Recharge : Received,COMMISSIONING RESERVE,NHS EALING CCG,32828782,"62,500.00"
Department of Health,NHS Central London CCG,30-Jun-20,Recharge : Received,COMMISSIONING RESERVE,NHS HAMMERSMITH AND FULHAM CCG,32593542,"62,500.00"
Department of Health,NHS Central London CCG,30-Jun-20,Recharge : Received,COMMISSIONING RESERVE,NHS HARROW CCG,32896081,"62,500.00"
Department of Health,NHS Central London CCG,30-Jun-20,Recharge : Received,COMMISSIONING RESERVE,NHS WEST LONDON (K&C & QPP) CCG,32955994,"62,500.00"
Department of Health,NHS Central London CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,32768565,"58,255.00"
Department of Health,NHS Central London CCG,30-Jun-20,Basic Sal-Rechgs to-from Other NHS,COMMISSIONING - NON ACUTE,NHS BRENT CCG,32663850,"57,628.00"
Department of Health,NHS Central London CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,32704702,"56,770.00"
