Department,CCG,Date,Expense Area,Expense Type,Supplier,Transaction Number,Amount
Department of Health,NHS Central London CCG,30-Sep-20,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,CITY OF WESTMINSTER,33827621,"-418,378.87"
Department of Health,NHS Central London CCG,30-Sep-20,Clinical&Medical-Othe Public Sector,CHILD AND ADOLESCENT MENTAL HEALTH,"HEALTH - MIND
HAMMERSMITH & FULHAM ASSOCIATION FOR MENTAL",34057581,"-140,000.00"
Department of Health,NHS Central London CCG,30-Sep-20,Clinical&Medical-Othe Public Sector,CHILD AND ADOLESCENT MENTAL HEALTH,"HEALTH - MIND
HAMMERSMITH & FULHAM ASSOCIATION FOR MENTAL",34057587,"-140,000.00"
Department of Health,NHS Central London CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,"TRUST
CENTRAL & NORTH WEST LONDON NHS FOUNDATION",33803984,"-118,962.87"
Department of Health,NHS Central London CCG,30-Sep-20,Clinical&Medical-Voluntary Sector,CHILD AND ADOLESCENT MENTAL HEALTH,"HEALTH - MIND
HAMMERSMITH & FULHAM ASSOCIATION FOR MENTAL",34057596,"-40,000.00"
Department of Health,NHS Central London CCG,30-Sep-20,Other Gen Supplies & Srv,ADMINISTRATION & BUSINESS SUPPORT,ARINITE LTD,34036409,"-37,925.00"
Department of Health,NHS Central London CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Over/ Under,ACUTE COMMISSIONING,LONDON NORTH WEST HEALTHCARE NHS TRUST,33803622,"-31,888.00"
Department of Health,NHS Central London CCG,30-Sep-20,"Performance
Hcare Srv Rec Fdtn Trust-Non Contract",ACUTE COMMISSIONING,CENTRAL & NORTH WEST LONDON NHS FOUNDATION,33803679,"-26,160.00"
Department of Health,NHS Central London CCG,30-Sep-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,LISSON GROVE HEALTH CENTRE,33819855,"-12,892.15"
Department of Health,NHS Central London CCG,30-Sep-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,LISSON GROVE HEALTH CENTRE,33819855,"-12,342.58"
Department of Health,NHS Central London CCG,30-Sep-20,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,33876974,"-2,503.80"
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,MAIDA VALE MEDICAL CENTRE (THE),33909354,9.21
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,COVENT GARDEN MEDICAL CENTRE,33909332,11.52
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR VICTORIA MUIRS PRACTICE,33909341,11.52
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,FITZROVIA MEDICAL CENTRE,33909343,25.33
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,PIMLICO HEALTH AT THE MARVEN SURGERY,33909362,25.34
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,MAIDA VALE MEDICAL CENTRE (THE),33909354,42.71
Department of Health,NHS Central London CCG,30-Sep-20,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,CONNAUGHT SQUARE PRACTICE,33819846,52.93
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ST JOHNS WOOD MEDICAL PRACTICE,33909358,52.98
Department of Health,NHS Central London CCG,30-Sep-20,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HOMELESS HEALTH CIC,33819872,65.03
Department of Health,NHS Central London CCG,30-Sep-20,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,SOHO SQUARE GENERAL PRACTICE,33819866,76
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR VICTORIA MUIRS PRACTICE,33909341,86.62
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR ABOUZEKRY,33909333,110.05
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,COVENT GARDEN MEDICAL CENTRE,33909332,113.52
Department of Health,NHS Central London CCG,30-Sep-20,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,33819864,129.42
Department of Health,NHS Central London CCG,30-Sep-20,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CAVENDISH HEALTH CENTRE,33819844,140
Department of Health,NHS Central London CCG,30-Sep-20,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,MARYLEBONE HEALTH CENTRE,33819858,140
Department of Health,NHS Central London CCG,30-Sep-20,C&M-APMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,AT MEDICS STREATHAM PLACE,33842260,140
Department of Health,NHS Central London CCG,30-Sep-20,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,AT MEDICS STREATHAM PLACE,33842260,140
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BELGRAVIA SURGERY,33909330,140
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,MAYFAIR MEDICAL CENTRE,33925222,140
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,PIMLICO HEALTH AT THE MARVEN SURGERY,33909362,151.86
Department of Health,NHS Central London CCG,30-Sep-20,Post Graduate Loan Payable,BALANCE SHEET,HMRC,33876974,156
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,FITZROVIA MEDICAL CENTRE,33909343,172.82
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR VICTORIA MUIRS PRACTICE,33909341,280
Department of Health,NHS Central London CCG,30-Sep-20,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,WELLINGTON HEALTH CENTRE (THE),33819869,284.66
Department of Health,NHS Central London CCG,30-Sep-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DOCTOR HICKEY SURGERY,33819848,287.97
Department of Health,NHS Central London CCG,30-Sep-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,33819864,294.39
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ST JOHNS WOOD MEDICAL PRACTICE,33909358,312.21
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MAYFAIR MEDICAL CENTRE,33925222,367.88
Department of Health,NHS Central London CCG,30-Sep-20,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR MAHER SHAKARCHIS PRACTICE,33819850,420
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR ABOUZEKRY,33909333,420
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,VICTORIA MEDICAL CENTRE,33909360,420
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CRAWFORD STREET SURGERY,33909364,420
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SOHO SQUARE SURGERY,33909357,445.21
Department of Health,NHS Central London CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR ABOUZEKRY,33909333,460.42
