Date,Expense Type,Expense area,Supplier,Transaction,amount
31/05/2020,SYS-NHS A/P Control-Cutover Bal <1Yr,BALANCE SHEET,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,31972445,"30,899.04"
31/05/2020,SYS-NHS A/P Control-Cutover Bal <1Yr,BALANCE SHEET,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,31972449,"30,899.04"
31/05/2020,SYS-NHS A/P Control-Cutover Bal <1Yr,BALANCE SHEET,NHS ENGLAND,32098296,"38,156.52"
31/05/2020,SYS-NHS A/P Control-Cutover Bal <1Yr,BALANCE SHEET,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,32102011,"31,429.00"
31/05/2020,SYS-Non NHS A/P-Cutover Bal <1Yr,BALANCE SHEET,ELIZABETH AVENUE GROUP PRACTICE,32162009,"54,170.88"
31/05/2020,SYS-Non NHS A/P-Cutover Bal <1Yr,BALANCE SHEET,GOODINGE GROUP PRACTICE,32162989,"48,351.57"
31/05/2020,SYS-Non NHS A/P-Cutover Bal <1Yr,BALANCE SHEET,GROUP PRACTICE AT RIVER PLACE,32162997,"60,073.25"
31/05/2020,SYS-Non NHS A/P-Cutover Bal <1Yr,BALANCE SHEET,ISLINGTON CENTRAL MEDICAL CENTRE,32163012,"33,398.67"
31/05/2020,SYS-Non NHS A/P-Cutover Bal <1Yr,BALANCE SHEET,ISLINGTON COUNCIL,32163017,"30,000.00"
31/05/2020,SYS-Non NHS A/P-Cutover Bal <1Yr,BALANCE SHEET,ISLINGTON COUNCIL,32163019,"336,055.00"
31/05/2020,SYS-Non NHS A/P-Cutover Bal <1Yr,BALANCE SHEET,ISLINGTON COUNCIL,32163020,"306,804.36"
31/05/2020,SYS-Non NHS A/P-Cutover Bal <1Yr,BALANCE SHEET,ISLINGTON COUNCIL,32163024,"310,566.07"
31/05/2020,SYS-Non NHS A/P-Cutover Bal <1Yr,BALANCE SHEET,ISLINGTON GP GROUP LTD (THE),32163025,"69,000.00"
