Date,Expense Type,,Supplier,Transaction,amount
31/01/2021,C&M-GMS Global Sum,,ABBEY MEDICAL CENTER LONDON,35437313,"95,087.01"
31/01/2021,Clinical&Medical-Independent Sector,WINTER RESILIENCE,ABBEY RAVENSCROFT PARK NURSING HOME,35406232,"-31,381.58"
31/01/2021,Clinical&Medical-Independent Sector,WINTER RESILIENCE,ABBEY RAVENSCROFT PARK NURSING HOME,35406234,"31,381.58"
31/01/2021,C&M-PMS Contract Value,,ABERNETHY HOUSE,35257335,"94,670.09"
31/01/2021,C&M-GMS Global Sum,,ADELAIDE MEDICAL CENTRE LONDON,35422522,"90,095.64"
31/01/2021,C&M-GMS Global Sum,,ADLER & ROSENBERG,35437359,"38,461.49"
31/01/2021,Clinical&Medical-Voluntary Sector,,AGE CONCERN ENFIELD,35200938,"33,331.50"
31/01/2021,C&M-GMS C&M-APMS PCN DES Physician Assoc,,AMPTHILL PRACTICE,35422515,"33,935.23"
31/01/2021,C&M-GMS Global Sum,,AMPTHILL PRACTICE,35422515,"65,197.12"
31/01/2021,C&M-GMS Global Sum,,AMWELL PRACTICE,35422517,"74,987.65"
31/01/2021,C&M-GMS Global Sum,,ANDOVER MEDICAL CENTRE,35437312,"48,965.60"
31/01/2021,C&M-PMS Contract Value,,ANGEL SURGERY,35257334,"87,040.92"
31/01/2021,C&M-GMS Global Sum,,ARCADIAN GARDENS,35437314,"39,650.46"
31/01/2021,C&M-PMS Contract Value,,ARCHWAY PRIMARY CARE TEAM,35257319,"115,881.73"
31/01/2021,C&M-PMS Contract Value,,ARNOS GROVE MEDICAL CENTRE,35257336,"44,179.74"
31/01/2021,C&M-APMS Contract Value,,AT MEDICS LTD KINGS CROSS SURGEY,35235464,"63,410.79"
31/01/2021,C&M-APMS Contract Value,,AT MEDICS LTD(HANLEY),35257331,"84,157.55"
31/01/2021,C&M-APMS Contract Value,,AT MEDICS MITCHISON ROAD SURGERY,35257330,"55,156.75"
31/01/2021,C&M-APMS Contract Value,,AT MEDICS SOMERS TOWN MEDICAL PRACTICE,35257332,"49,473.42"
31/01/2021,C&M-APMS Contract Value,,AT MEDICS ST ANNS ROAD MEDICAL CENTRE,35257397,"124,370.48"
31/01/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,AUDIOLOGICAL SCIENCE LTD,35300561,"47,370.00"
31/01/2021,Hcare Srv Rec NHS Trust-Contract Variation,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,35272540,"85,441.00"
31/01/2021,Clinical&Medical-Independent Sector,,BARNARDOS,35186057,"62,000.00"
31/01/2021,C&M-APMS Contract Value,,BARNDOC HEALTHCARE LTD,35257435,"38,509.71"
31/01/2021,Hcare Srv Rec NHS Trust-Non Contract,COMMUNITY SERVICES,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,35299242,"33,226.54"
31/01/2021,Hcare Srv Rec NHS Trust-Non Contract,,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,35360746,"33,333.00"
31/01/2021,Clinical&Medical-Independent Sector,,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,35299237,"52,500.00"
31/01/2021,Clinical&Medical-Independent Sector,,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,35375836,"231,940.00"
31/01/2021,Hcare Srv Rec NHS Trust-Contract Variation,ACUTE COMMISSIONING,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,35272545,"14,555,916.00"
31/01/2021,Clinical&Medical-Independent Sector,GP FORWARD VIEW,BARNET FEDERATED GPS LTD,34804903,"81,926.00"
31/01/2021,Clinical&Medical-Independent Sector,GP FORWARD VIEW,BARNET FEDERATED GPS LTD,35408785,"150,280.00"
31/01/2021,Hcare Srv Rec NHS Trust-Contract Variation,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,35272548,"2,156,122.00"
31/01/2021,C&M-GMS Global Sum,,BELSIZE PRIORY MEDICAL PRACTICE,35437311,"35,848.78"
31/01/2021,C&M-PMS Contract Value,,BINCOTE ROAD SURGERY,35257337,"46,037.37"
31/01/2021,C&M-GMS Global Sum,,BLOOMSBURY SURGERY,35422524,"32,580.04"
31/01/2021,C&M-GMS Global Sum,,BOUNCES ROAD SURGERY,35437315,"40,223.06"
31/01/2021,C&M-PMS Contract Value,,BOUNDARY HOUSE SURGERY BOAKYE COWLEY JONES,35257386,"36,408.79"
31/01/2021,C&M-PMS PCN DES Participation,,BOUNDS GREEN GROUP PRACTICE,35257338,"31,860.88"
31/01/2021,C&M-PMS Contract Value,,BOUNDS GREEN GROUP PRACTICE,35257338,"127,449.03"
31/01/2021,C&M-PMS Contract Value,,BRIDGE HOUSE SURGERY,35257339,"69,106.10"
31/01/2021,C&M-PMS Prem Actual Rent,,BRONDESBURY MEDICAL CENTRE,35235444,"42,325.00"
31/01/2021,C&M-PMS Contract Value,,BRONDESBURY MEDICAL CENTRE,35235444,"136,889.10"
31/01/2021,ME - GMS GP Prior Year ERs,,BROOKFIELD PARK SURGERY,35242011,"31,338.89"
31/01/2021,C&M-GMS Global Sum,,BRUNSWICK PARK MEDICAL PRACTICE,35419190,"60,727.28"
31/01/2021,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,BUPA CARE HOMES,35269671,"34,116.75"
31/01/2021,Clinical&Medical-Independent Sector,WINTER RESILIENCE,BUPA CARE HOMES,35467775,"35,100.00"
31/01/2021,Clinical&Medical-Independent Sector,WINTER RESILIENCE,BUPA CARE HOMES,35467719,"36,270.00"
31/01/2021,Clinical&Medical-Independent Sector,WINTER RESILIENCE,BUPA CARE HOMES,35467879,"36,270.00"
31/01/2021,Hcare Srv Rec NHS Trust-Contract Variation,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,35272555,"43,177.00"
31/01/2021,Hcare Srv Rec NHS Trust-Contract Variation,ACUTE COMMISSIONING,CAMDEN & ISLINGTON NHS FOUNDATION TRUST,35272558,"9,928,606.00"
31/01/2021,C&M-APMS Contract Value,,CAMDEN HEALTH IMPROVEMENT PRACTICE Y02674,35235469,"-54,333.33"
31/01/2021,C&M-APMS Contract Value,,CAMDEN HEALTH IMPROVEMENT PRACTICE Y02674,35257333,"108,666.66"
31/01/2021,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,CARE UK COMMUNITY PARTNERSHIPS LTD,35216455,"33,089.27"
31/01/2021,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,CARE UK COMMUNITY PARTNERSHIPS LTD,35458546,"124,200.00"
31/01/2021,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,CARE UK COMMUNITY PARTNERSHIPS LTD,35458717,"128,340.00"
31/01/2021,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,CARE UK COMMUNITY PARTNERSHIPS LTD,35459194,"128,340.00"
31/01/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CATARACT CENTRE,35250605,"33,512.48"
31/01/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CATARACT CENTRE,35250604,"45,756.09"
31/01/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CATARACT CENTRE,35199646,"50,000.00"
31/01/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CATARACT CENTRE,35216413,"50,186.58"
31/01/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CATARACT CENTRE,35216409,"55,334.56"
31/01/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CATARACT CENTRE,35216416,"91,316.36"
31/01/2021,C&M-GMS Global Sum,,CAVERSHAM GROUP PRACTICE,35437341,"132,584.02"
31/01/2021,Clinical&Medical-Commercial Sector,MATERNITY SERVICES,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,35250516,"36,047.00"
31/01/2021,Hcare Srv Rec NHS Trust-Contract Variation,ACUTE COMMISSIONING,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,35272560,"3,224,755.00"
31/01/2021,Hcare Srv Rec NHS Trust-Contract Variation,ACUTE COMMISSIONING,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,35272563,"4,039,244.00"
31/01/2021,Programme Support Costs,BEREAVEMENT SERVICE,CERNER LTD,35359136,"52,277.10"
31/01/2021,Programme Support Costs,BEREAVEMENT SERVICE,CERNER LTD,35359135,"54,954.80"
31/01/2021,Programme Support Costs,BEREAVEMENT SERVICE,CERNER LTD,35359138,"56,621.96"
31/01/2021,Programme Support Costs,BEREAVEMENT SERVICE,CERNER LTD,35359131,"82,773.13"
31/01/2021,Programme Support Costs,BEREAVEMENT SERVICE,CERNER LTD,35359133,"82,773.13"
31/01/2021,Programme Support Costs,BEREAVEMENT SERVICE,CERNER LTD,35359139,"82,773.13"
31/01/2021,Programme Support Costs,BEREAVEMENT SERVICE,CERNER LTD,35359158,"82,773.13"
31/01/2021,Programme Support Costs,BEREAVEMENT SERVICE,CERNER LTD,35359136,"261,385.51"
31/01/2021,C&M-APMS Contract Value,,CHALFONT ROAD SURGERY,35257340,"41,498.39"
31/01/2021,C&M-GMS Global Sum,,CHARLTON HOUSE MEDICAL CENTRE,35437317,"55,456.30"
31/01/2021,Hcare Srv Rec NHS Trust-Contract Variation,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,35272566,"304,068.00"
31/01/2021,C&M-PMS Contract Value,,CHESHIRE ROAD SURGERY,35257393,"49,191.65"
31/01/2021,C&M-PMS Contract Value,,CHOLMLEY GARDENS MEDICAL CENTRE,35257320,"55,120.58"
31/01/2021,C&M-GMS Global Sum,,CITY ROAD MEDICAL CENTRE,35422527,"62,520.76"
31/01/2021,C&M-PMS Contract Value,,CLAASSEN & PARTNER,35257402,"54,660.22"
31/01/2021,C&M-GMS Global Sum,,CLERKENWELL MEDICAL PRACTICE,35422530,"106,660.81"
31/01/2021,C&M-GMS Global Sum,,COCKFOSTERS MEDICAL CENTRE,35437319,"48,056.92"
31/01/2021,C&M-GMS Global Sum,,CORNWALL HOUSE SURGERY,35437361,"40,513.73"
31/01/2021,C&M-PMS Contract Value,,CROUCH HALL SURGERY,35257341,"58,241.68"
31/01/2021,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,CYGNET HEALTHCARE LTD,35377547,"34,086.00"
31/01/2021,C&M-PMS Contract Value,,DERWENT CRESCENT MEDICAL CENTRE,35257404,"38,746.75"
31/01/2021,C&M-GMS Global Sum,,DR AKUNJEE,35437320,"117,457.70"
31/01/2021,C&M-GMS Global Sum,,DR AZIM & PARTNERS,35419186,"58,483.34"
31/01/2021,C&M-PMS Contract Value,,DR CAPLAN,35257342,"75,638.72"
31/01/2021,C&M-PMS Contract Value,,DR DS MONKMAN,35235473,"79,609.53"
31/01/2021,C&M-PMS Contract Value,,DR FJ MCKENZIE EAST FINCHLEY,35257406,"30,173.90"
31/01/2021,C&M-PMS Contract Value,,DR IKUWUKE,35257343,"36,223.51"
31/01/2021,C&M-PMS Contract Value,,DR JEYARAJAH,35257344,"41,961.14"
31/01/2021,C&M-PMS Contract Value,,DR M STEINBERG,35257346,"86,127.13"
31/01/2021,C&M-GMS Global Sum,,DR QM RAHMAN,35437323,"59,923.74"
31/01/2021,C&M-PMS PCN DES Participation,,DR ROHAN,35236306,"30,540.92"
31/01/2021,C&M-APMS Contract Value,,DR ROHAN,35257395,"74,688.91"
31/01/2021,C&M-PMS Contract Value,,DR ROHAN,35236306,"120,059.72"
31/01/2021,C&M-PMS Contract Value,,DR SIVANANTHAN,35257347,"39,699.37"
31/01/2021,C&M-GMS Global Sum,,DR WOOLLACOTT,35419002,"39,129.44"
31/01/2021,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,DRS CARE HOMES LTD,35138921,"32,531.25"
31/01/2021,C&M-GMS Global Sum,,DRS NEELESH & TAMARA BOWRY,35422578,"32,685.92"
31/01/2021,C&M-PMS Contract Value,,EAGLE HOUSE SURGERY ENFIELD,35257354,"96,315.29"
31/01/2021,Hcare Srv Rec NHS Trust-Contract Variation,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,35272570,"107,600.00"
31/01/2021,C&M-GMS Global Sum,,EAST FINCHLEY MEDICAL PRACTICE,35437362,"54,841.83"
31/01/2021,Hcare Srv Rec NHS Trust-Contract Variation,ACUTE COMMISSIONING,EAST LONDON NHS FOUNDATION TRUST,35272573,"83,499.00"
31/01/2021,C&M-GMS Global Sum,,ELIZABETH AVENUE GROUP PRACTICE,35422532,"62,898.74"
31/01/2021,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,ELYSIUM HEALTHCARE LTD,35269636,"32,112.60"
