Date,Expense Type,Expense area,Supplier,Transaction,amount
2/28/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,AUDIOLOGICAL SCIENCE LTD,35736528,"-66,812.00"
2/28/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,AUDIOLOGICAL SCIENCE LTD,35736527,"-60,000.00"
2/28/2021,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CAMDEN HEALTH IMPROVEMENT PRACTICE Y02674,35592829,"-54,333.33"
2/28/2021,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,35541687,"-33,333.00"
2/28/2021,Clinical&Medical-Voluntary Sector,DEMENTIA,AGE UK BARNET,35634490,"30,000.00"
2/28/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR FJ MCKENZIE EAST FINCHLEY,35590760,"30,173.90"
2/28/2021,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR ROHAN,35616397,"30,364.31"
2/28/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR ROHAN,35616397,"30,540.92"
2/28/2021,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,DELL CORPORATION LTD,35684427,"30,970.00"
2/28/2021,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,CYGNET LEARNING DISABILITIES LTD,35555917,"31,248.00"
2/28/2021,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR M STEINBERG,35616391,"31,808.31"
2/28/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BOUNDS GREEN GROUP PRACTICE,35616387,"31,860.88"
2/28/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,BARNDOC HEALTHCARE LTD,35736529,"32,383.75"
2/28/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,AUDIOLOGICAL SCIENCE LTD,35736517,"32,520.50"
2/28/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BLOOMSBURY SURGERY,35768031,"32,580.04"
2/28/2021,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,CYGNET LEARNING DISABILITIES LTD,35580766,"33,120.00"
2/28/2021,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,35540790,"33,333.00"
2/28/2021,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,35541666,"33,333.00"
2/28/2021,Clinical&Medical-Voluntary Sector,MENTAL HEALTH CONTRACTS,COMMUNITY BARNET,35815402,"34,500.00"
2/28/2021,Clinical&Medical-Voluntary Sector,MENTAL HEALTH CONTRACTS,COMMUNITY BARNET,35815411,"34,500.00"
2/28/2021,Clinical&Medical-Voluntary Sector,I+E SET-UP DEFAULT,COMMUNITY BARNET,35815777,"34,500.00"
2/28/2021,Programme Support Costs,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,ATTAIN HEALTH MANAGEMENT SERVICES LTD,35778219,"35,340.00"
2/28/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BELSIZE PRIORY MEDICAL PRACTICE,35768019,"35,848.78"
2/28/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR IKUWUKE,35595630,"36,223.51"
2/28/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BOUNDARY HOUSE SURGERY BOAKYE COWLEY JONES,35595672,"36,408.79"
2/28/2021,Clinical&Medical-Voluntary Sector,LONG TERM CONDITIONS,AGE UK CAMDEN,35802450,"37,056.42"
2/28/2021,Clinical&Medical-Voluntary Sector,LONG TERM CONDITIONS,AGE UK CAMDEN,35802455,"37,056.42"
2/28/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,BARNDOC HEALTHCARE LTD,35556305,"38,280.50"
2/28/2021,C&M-GMS C&M-APMS PCN DES Physician Assoc,PRC DELEGATED CO-COMMISSIONING,AMPTHILL PRACTICE,35768021,"38,405.57"
