Date,Expense Type,Expense area,Supplier,Transaction,amount
31/10/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CAMDEN HEALTH IMPROVEMENT PRACTICE Y02674,34164781,"-54,437.64"
31/10/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CAMDEN HEALTH IMPROVEMENT PRACTICE Y02674,34164781,"-54,333.33"
31/10/2020,Hcare Srv Rec Fdtn Trust-Over/ Under,ACUTE COMMISSIONING,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,34271961,"-46,136.82"
31/10/2020,Clinical&Medical-Othe Public Sector,SAFEGUARDING,ISLINGTON COUNCIL,34204565,"-43,290.00"
31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,34301606,"-41,383.00"
31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BOUNDS GREEN GROUP PRACTICE,34163101,"-29,410.04"
31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MUSWELL HILL PRACTICE,34171593,"-22,406.77"
31/10/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,BOUNDS GREEN GROUP PRACTICE,34163101,"-15,159.08"
31/10/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,BOUNDS GREEN GROUP PRACTICE,34163101,"-14,933.69"
31/10/2020,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,34197429,"-10,327.93"
31/10/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,MUSWELL HILL PRACTICE,34171593,"-9,972.17"
31/10/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,MUSWELL HILL PRACTICE,34171593,"-5,706.57"
31/10/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,MUSWELL HILL PRACTICE,34171593,"-3,796.88"
31/10/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,MUSWELL HILL PRACTICE,34171593,"-3,037.50"
31/10/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,MUSWELL HILL PRACTICE,34171593,"-1,930.19"
31/10/2020,C&M-APMS LES Primary Care Offer,LOCAL ENHANCED SERVICES,CAMDEN HEALTH IMPROVEMENT PRACTICE Y02674,34164781,-454.62
31/10/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,BOUNDS GREEN GROUP PRACTICE,34163101,-375
31/10/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,BOUNDS GREEN GROUP PRACTICE,34163101,-286.02
31/10/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,ENFIELD HEALTHCARE ALLIANCE LTD,34212351,3.12
31/10/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD(HANLEY),34164777,4.34
31/10/2020,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD(HANLEY),34164777,6.01
31/10/2020,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,,7
31/10/2020,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ENFIELD HEALTHCARE ALLIANCE LTD,34212351,19.56
31/10/2020,C&M-APMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,ENFIELD HEALTHCARE ALLIANCE LTD,34212351,20.23
31/10/2020,C&M-PMS PCO Congestion charge,PRC DELEGATED CO-COMMISSIONING,MUSEUM PRACTICE,34164762,30
31/10/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,ENFIELD HEALTHCARE ALLIANCE LTD,34171599,32.34
31/10/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR CAPLAN,34163109,69.19
31/10/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD KINGS CROSS SURGEY,34164773,70.49
31/10/2020,C&M-PMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD(HANLEY),34164777,92.22
31/10/2020,Post Graduate Loan Payable,BALANCE SHEET,HMRC,34197429,136
31/10/2020,C&M-APMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,AT MEDICS MITCHISON ROAD SURGERY,34164775,199.84
31/10/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CAMDEN HEALTH IMPROVEMENT PRACTICE Y02674,34164782,208.62
31/10/2020,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,MUSWELL HILL PRACTICE,34171594,213.92
31/10/2020,C&M-APMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,HURLEY CLINIC,34164771,248.46
31/10/2020,C&M-APMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,AT MEDICS SOMERS TOWN MEDICAL PRACTICE,34164779,282.43
31/10/2020,C&M-APMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,AT MEDICS MITCHISON ROAD SURGERY,34164775,330.03
31/10/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,PRINCE OF WALES ROAD,34169497,449.25
31/10/2020,Cont Care-FNC Client Continence Allow,FUNDED NURSING CARE,LANCAM CARE SERVICES LTD,34255924,495.88
31/10/2020,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,FEDERATED 4 HEALTH LTD,34121683,554.2
31/10/2020,Cont Care-FNC Client Continence Allow,FUNDED NURSING CARE,TWINGLOBE CARE LTD,34280328,565.62
31/10/2020,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ENFIELD HEALTHCARE ALLIANCE LTD,34212351,631.54
31/10/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ENFIELD HEALTHCARE ALLIANCE LTD,34212351,631.68
31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CAMDEN HEALTH IMPROVEMENT PRACTICE Y02674,34164782,699.33
31/10/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,PRINCE OF WALES ROAD,34169497,706.86
31/10/2020,C&M-APMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD KINGS CROSS SURGEY,34164773,720.5
31/10/2020,C&M-APMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,HURLEY CLINIC,34164771,783.5
31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ARNOS GROVE MEDICAL CENTRE,34163098,793.48
31/10/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AT MEDICS SOMERS TOWN MEDICAL PRACTICE,34164779,796.37
31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,RAINBOW PRACTICE,34171596,825.75
