Date,Expense,Expense area,Supplier,Transaction,amount
4/30/2020,Hcare Srv Rec NHS,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,31729455,"85,400.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,31729459,"12,243,600.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,31729461,"2,156,100.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,MID ESSEX HOSPITALS SERVICES NHS TRUST,31729463,"45,100.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,31729466,"43,200.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,CAMDEN & ISLINGTON NHS FOUNDATION TRUST,31729469,"7,983,300.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,31729471,"3,224,800.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,31729472,"4,039,200.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,31729475,"304,100.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,31729478,"107,600.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,EAST LONDON NHS FOUNDATION TRUST,31729482,"83,500.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,31729490,"579,700.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,31729492,"1,132,100.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,31729497,"1,385,700.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,31729498,"1,660,800.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,31729500,"220,600.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,KINGSTON HOSPITAL NHS FOUNDATION TRUST,31729502,"33,800.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,LEWISHAM & GREENWICH NHS TRUST,31729504,"57,200.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,LONDON AMBULANCE SERVICE NHS TRUST,31729505,"5,356,300.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,LONDON NORTH WEST HEALTHCARE NHS TRUST,31729508,"1,356,200.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,LUTON & DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,31729509,"34,000.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,31729510,"1,966,100.00"
