verif_match,amount,count,regno,regdate,ICNPO,income,CC Rank
NUFFIELD HEALTH,300026063,2432,205533,1962-09-22,3100,4835600000.0,6
MARIE STOPES INTERNATIONAL,43530169,1112,265543,1973-05-09,3400,1603164000.0,58
ST JOHN AMBULANCE,39595320,833,1077265,1999-09-02,3400,600100000.0,456
BPAS,39187583,782,289145,1984-04-25,3400,207800000.0,1366
MARIE CURIE,56955581,560,207994,1962-09-22,3400,1091030000.0,243
ALZHEIMERS SOCIETY,27012536,542,296645,1987-04-23,3400,666008000.0,423
ST BARNABAS HOSPICE,48643690,469,1053814,1996-03-15,3200,76315321.0,4444
ANTHONY NOLAN,16712447,458,803716,1990-07-12,3400,293534000.0,1047
METHODIST HOMES,18200411,448,1083995,2000-12-04,6200,1429769000.0,178
THE RICHMOND FELLOWSHIP,26792069,420,200453,1961-09-20,6200,253705000.0,1157
