Department,CCG,Date,Expense Area,Expense Type,Supplier,Transaction Number,Amount
Department of Health,NHS Tower Hamlets CCG,31/12/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,34887707,"-1,770,544.00"
Department of Health,NHS Tower Hamlets CCG,31/12/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ST ANDREWS HEALTH CENTRE,34887721,"-1,035,104.00"
Department of Health,NHS Tower Hamlets CCG,31/12/2020,Non-PFI Oprtng Lease-Bldgs-Lease Rent,PROGRAMME PROJECTS,BARTS HEALTH NHS TRUST,35098112,"-606,057.93"
Department of Health,NHS Tower Hamlets CCG,31/12/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,34979082,"-586,745.00"
Department of Health,NHS Tower Hamlets CCG,31/12/2020,Hcare Srv Rec Fdtn Trust-Non Contract,MENTAL HEALTH SERVICES - OTHER,EAST LONDON NHS FOUNDATION TRUST,35059484,"-398,000.00"
Department of Health,NHS Tower Hamlets CCG,31/12/2020,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,BARTS HEALTH NHS TRUST,34867864,"-344,498.00"
Department of Health,NHS Tower Hamlets CCG,31/12/2020,Hcare Srv Rec Fdtn Trust-Non Contract,MENTAL HEALTH SERVICES - OTHER,EAST LONDON NHS FOUNDATION TRUST,35059485,"-272,000.00"
Department of Health,NHS Tower Hamlets CCG,31/12/2020,Non-PFI Oprtng Lease-Bldgs-Lease Rent,PROGRAMME PROJECTS,BARTS HEALTH NHS TRUST,34819394,"-202,019.31"
Department of Health,NHS Tower Hamlets CCG,31/12/2020,Clinical&Medical-Voluntary Sector,LOCAL ENHANCED SERVICES,EAST END HEALTH NETWORK,34867793,"-179,458.93"
Department of Health,NHS Tower Hamlets CCG,31/12/2020,C&M-APMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,34887707,"-68,832.00"
Department of Health,NHS Tower Hamlets CCG,31/12/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ST PAULS WAY MEDICAL CENTRE,34887724,"-61,061.79"
