Department family,Entity,Date,Supplier,Transaction,Amount
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ABERFELDY STREET PRACTICE,31948666,"1,211.51"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ABERFELDY STREET PRACTICE,31948666,"1,588.28"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ABERFELDY STREET PRACTICE,31948666,"2,112.08"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ABERFELDY STREET PRACTICE,31948666,"3,380.59"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ABERFELDY STREET PRACTICE,31948666,"9,482.03"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ABERFELDY STREET PRACTICE,31948666,"10,761.90"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ABERFELDY STREET PRACTICE,31948666,"66,142.95"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ALBION HEALTH CENTRE,31948669,969.42
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ALBION HEALTH CENTRE,31948669,"1,235.84"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ALBION HEALTH CENTRE,31948669,"2,363.41"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ALBION HEALTH CENTRE,31948669,"4,286.55"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ALBION HEALTH CENTRE,31948669,"4,731.66"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ALBION HEALTH CENTRE,31948669,"4,746.45"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,ALBION HEALTH CENTRE,31948669,"64,404.37"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,31800528,"1,634.58"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,31800528,"4,820.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,31800528,"4,966.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,AT MEDICS LTD WHITECHAPEL HEALTH CENTRE,31800528,"97,119.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,BARKANTINE PRACTICE,31800517,"2,832.10"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,BARKANTINE PRACTICE,31800517,"5,976.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,BARKANTINE PRACTICE,31800517,"8,604.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,BARKANTINE PRACTICE,31952819,"67,379.39"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,BARKANTINE PRACTICE,31800517,"221,318.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,BETHNAL GREEN HEALTH CENTRE,31948664,"1,220.76"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,DOCKLANDS MEDICAL CENTRE LONDON,31948677,88.97
Department of Health,NHS Tower Hamlets CCG,30/04/2020,DOCKLANDS MEDICAL CENTRE LONDON,31948677,"1,166.18"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,DOCKLANDS MEDICAL CENTRE LONDON,31948677,"2,758.51"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,DOCKLANDS MEDICAL CENTRE LONDON,31948677,"2,868.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,DR N SELVAN,31973022,563.33
Department of Health,NHS Tower Hamlets CCG,30/04/2020,DR N SELVAN,31973022,"1,790.71"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,DR N SELVAN,31973022,"2,781.75"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,DR N SELVAN,31973022,"5,586.61"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,DR N SELVAN,31973022,"8,000.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,DR N SELVAN,31973022,"18,905.00"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,DR N SELVAN,31973022,"83,710.30"
Department of Health,NHS Tower Hamlets CCG,30/04/2020,DR S RANA-MASSON,31948680,"2,761.00"
