Department family,Entity,Date,Expense Type,Expense area,,Supplier,Transaction,amount
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,,BARTS HEALTH NHS TRUST,32762280,-237000
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Clinical&Medical-Voluntary Sector,LOCAL ENHANCED SERVICES,,EAST END HEALTH NETWORK,32957471,-94248.26
Department of Health,NHS Tower Hamlets CCG,30/06/2020,Clinical&Medical-Voluntary Sector,LOCAL ENHANCED SERVICES,,EAST END HEALTH NETWORK,32957468,-85210.67
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension EEs,"PRC DELEGATED CO-
COMMISSIONING",,CHRISP STREET HEALTH CENTRE,32822996,-20835.38
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension ERs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",,BLITHEHALE MEDICAL CENTRE,32822994,-20089.18
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension ERs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",,CHRISP STREET HEALTH CENTRE,32822996,-19853
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension EEs,"PRC DELEGATED CO-
COMMISSIONING",,MISSION PRACTICE,32823015,-19645.82
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension ERs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",,MISSION PRACTICE,32823015,-17166.87
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME - GMS GP Prior Year ERs,"PRC DELEGATED CO-
COMMISSIONING",,BETHNAL GREEN HEALTH CENTRE,32822988,-15737.99
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,ST STEPHENS HEALTH CENTRE LONDON,32823026,-15481.28
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Prior Year EEs,"PRC DELEGATED CO-
COMMISSIONING",,BETHNAL GREEN HEALTH CENTRE,32822988,-14774.9
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME - GMS GP Prior Year ERs,"PRC DELEGATED CO-
COMMISSIONING",,BLITHEHALE MEDICAL CENTRE,32822994,-13818.72
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-PMS GP Prior Year EEs,"PRC DELEGATED CO-
COMMISSIONING",,BARKANTINE PRACTICE,32674104,-13810.26
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME - PMS GP Prior Year ERs,"PRC DELEGATED CO-
COMMISSIONING",,BARKANTINE PRACTICE,32674104,-13796.39
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-PMS GP Pension ERs Adjs - PMS,"PRC DELEGATED CO-
COMMISSIONING",,BARKANTINE PRACTICE,32674104,-13442.05
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Prior Year EEs,"PRC DELEGATED CO-
COMMISSIONING",,BLITHEHALE MEDICAL CENTRE,32822994,-12973.08
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,BLITHEHALE MEDICAL CENTRE,32822994,-12245.6
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",,SPITALFIELDS GMS PRACTICE,32823019,-12184.3
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension EEs,"PRC DELEGATED CO-
COMMISSIONING",,BLITHEHALE MEDICAL CENTRE,32822994,-11535.76
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-PMS GP Pension EEs-PMS,"PRC DELEGATED CO-
COMMISSIONING",,BARKANTINE PRACTICE,32674104,-10856.18
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension ERs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",,ST STEPHENS HEALTH CENTRE LONDON,32823026,-9030.26
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension ERs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",,SPITALFIELDS GMS PRACTICE,32823019,-8425.69
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension EEs,"PRC DELEGATED CO-
COMMISSIONING",,ST STEPHENS HEALTH CENTRE LONDON,32823026,-7859.92
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension ERs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",,BETHNAL GREEN HEALTH CENTRE,32822988,-7823.54
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension EEs,"PRC DELEGATED CO-
COMMISSIONING",,BETHNAL GREEN HEALTH CENTRE,32822988,-7403.52
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension EEs,"PRC DELEGATED CO-
COMMISSIONING",,SPITALFIELDS GMS PRACTICE,32823019,-4425.83
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-PMS GP Statutory Levy,"PRC DELEGATED CO-
COMMISSIONING",,BARKANTINE PRACTICE,32674104,-3782.5
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension EEs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",,SPITALFIELDS GMS PRACTICE,32823019,-3333.32
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS GP Statutory Levy,"PRC DELEGATED CO-
COMMISSIONING",,CHRISP STREET HEALTH CENTRE,32822996,-2395.54
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS GP Statutory Levy,"PRC DELEGATED CO-
COMMISSIONING",,BLITHEHALE MEDICAL CENTRE,32822994,-2393.31
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS GP Statutory Levy,"PRC DELEGATED CO-
COMMISSIONING",,SPITALFIELDS GMS PRACTICE,32823019,-2241.29
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-GMS GP Pension EEs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",,BLITHEHALE MEDICAL CENTRE,32822994,-2162.18
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS GP Statutory Levy,"PRC DELEGATED CO-
COMMISSIONING",,ST STEPHENS HEALTH CENTRE LONDON,32823026,-2106.26
Department of Health,NHS Tower Hamlets CCG,30/06/2020,ME-PMS GP Pension EEs Adjs - PMS,"PRC DELEGATED CO-
COMMISSIONING",,BARKANTINE PRACTICE,32674104,-2065.18
Department of Health,NHS Tower Hamlets CCG,30/06/2020,C&M-GMS GP Statutory Levy,"PRC DELEGATED CO-
COMMISSIONING",,MISSION PRACTICE,32823015,-1886.25
