Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Tower Hamlets CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,34340883,"-756,623.69"
Department of Health,NHS Tower Hamlets CCG,31/10/2020,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,34355395,"-691,000.00"
Department of Health,NHS Tower Hamlets CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,BARTS HEALTH NHS TRUST,34204488,"-88,979.00"
Department of Health,NHS Tower Hamlets CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,34426391,"-42,665.79"
Department of Health,NHS Tower Hamlets CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,34426373,"-41,834.44"
Department of Health,NHS Tower Hamlets CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,34426384,"-37,739.25"
Department of Health,NHS Tower Hamlets CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,34426446,"-37,402.00"
Department of Health,NHS Tower Hamlets CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,WHITTINGTON HOSPITAL NHS TRUST (THE),34426496,"-32,910.92"
Department of Health,NHS Tower Hamlets CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,34290293,"-28,260.00"
Department of Health,NHS Tower Hamlets CCG,31/10/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,CHRISP STREET HEALTH CENTRE,34290297,"-19,201.07"
Department of Health,NHS Tower Hamlets CCG,31/10/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,CHRISP STREET HEALTH CENTRE,34290297,"-19,110.70"
Department of Health,NHS Tower Hamlets CCG,31/10/2020,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,34290293,"-14,248.39"
Department of Health,NHS Tower Hamlets CCG,31/10/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,34290293,"-3,918.55"
Department of Health,NHS Tower Hamlets CCG,31/10/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,34290293,"-3,678.75"
Department of Health,NHS Tower Hamlets CCG,31/10/2020,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,34250295,"-2,777.36"
Department of Health,NHS Tower Hamlets CCG,31/10/2020,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,CHRISP STREET HEALTH CENTRE,34290297,-373.91
Department of Health,NHS Tower Hamlets CCG,31/10/2020,ME-GMS GP Prior Year AVCs,PRC DELEGATED CO-COMMISSIONING,XX PLACE,34290337,7.73
Department of Health,NHS Tower Hamlets CCG,31/10/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,ISLAND MEDICAL CENTRE,34167543,12.39
Department of Health,NHS Tower Hamlets CCG,31/10/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,ST PAULS WAY MEDICAL CENTRE,34189297,28.89
Department of Health,NHS Tower Hamlets CCG,31/10/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR N SELVAN,34290302,50.53
Department of Health,NHS Tower Hamlets CCG,31/10/2020,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,34167541,66.96
