Department family,Entity,Date,Expense Type,Expense area,,Supplier,Transaction,amount
Department of Health,NHS Tower Hamlets CCG,31/05/2020,Clinical&Medical-Voluntary Sector,MENTAL HEALTH CONTRACTS,WORKING WELL TRUST,32339638,102000,27851
Department of Health,NHS Tower Hamlets CCG,31/05/2020,Clinical&Medical-Commercial Sector,"COMMISSIONING
COMMUNITY SERVICES",WHIZZ MOBILITY CIC,32489194,104166.67,516
Department of Health,NHS Tower Hamlets CCG,31/05/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,WHIZZ MOBILITY CIC,32489213,107790,521
Department of Health,NHS Tower Hamlets CCG,31/05/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,WHIZZ MOBILITY CIC,32510792,82500,519
Department of Health,NHS Tower Hamlets CCG,31/05/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,WHIZZ MOBILITY CIC,32510793,42949,520
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-,,ABERFELDY STREET PRACTICE,32402614,1680
Department of Health,NHS Tower Hamlets CCG,31/05/2020,ME-GMS GP Prior Year EEs,"COMMISSIONING
PRC DELEGATED CO-",,ABERFELDY STREET PRACTICE,32402614,2144.19
Department of Health,NHS Tower Hamlets CCG,31/05/2020,ME - GMS GP Prior Year ERs,"COMMISSIONING
PRC DELEGATED CO-",,ABERFELDY STREET PRACTICE,32402614,2178.33
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Participation,"COMMISSIONING
PRC DELEGATED CO-",,ABERFELDY STREET PRACTICE,32402614,2551.52
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS QOF Aspiration,"COMMISSIONING
PRC DELEGATED CO-",,ABERFELDY STREET PRACTICE,32402614,3380.59
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Global Sum,"COMMISSIONING
PRC DELEGATED CO-",,ABERFELDY STREET PRACTICE,32402614,66142.95
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Participation,,,ALBION HEALTH CENTRE,32422000,2479.74
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS QOF Aspiration,,,ALBION HEALTH CENTRE,32422000,4731.66
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Clinical Director,,,ALBION HEALTH CENTRE,32422000,4746.3
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES Clin Pharmacist,,,ALBION HEALTH CENTRE,32422000,6293.39
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS DES Extended Hours Access,,,ALBION HEALTH CENTRE,32422000,9532.06
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS PCN DES PCN support,,,ALBION HEALTH CENTRE,32422000,9860.76
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-GMS Global Sum,,,ALBION HEALTH CENTRE,32422000,64404.37
Department of Health,NHS Tower Hamlets CCG,31/05/2020,ME - PMS GP Prior Year ERs,"COMMISSIONING
PRC DELEGATED CO-",,BARKANTINE PRACTICE,32286166,2246.9
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-PMS DES Learn Dsblty Hlth Chk,"COMMISSIONING
PRC DELEGATED CO-",,BARKANTINE PRACTICE,32286166,2800
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-APMS PCN DES Participation,"COMMISSIONING
PRC DELEGATED CO-",,BARKANTINE PRACTICE,32286166,5913.14
Department of Health,NHS Tower Hamlets CCG,31/05/2020,C&M-APMS Contract KPIs,PRC DELEGATED CO-,,BARKANTINE PRACTICE,32286166,8604
