Department,CCG,Date,Expense Area,Expense Type,Supplier,Transaction Number,Amount
Department of Health,NHS Tower Hamlets CCG,31/01/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,ACCELERATE CIC,35401350,"-125,679.76"
Department of Health,NHS Tower Hamlets CCG,31/01/2021,Healthcare Srv Rec CCG,PROGRAMME PROJECTS,NHS NEWHAM CCG,35368178,"-37,399.20"
Department of Health,NHS Tower Hamlets CCG,31/01/2021,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,GLOBETOWN SURGERY,35351409,"-17,158.12"
Department of Health,NHS Tower Hamlets CCG,31/01/2021,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,GLOBETOWN SURGERY,35351409,"-16,971.71"
Department of Health,NHS Tower Hamlets CCG,31/01/2021,Miscellaneous Expenditure (L9),PROGRAMME PROJECTS,JO BARTER ASSOCIATES LTD,34813051,"-7,000.00"
Department of Health,NHS Tower Hamlets CCG,31/01/2021,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,35258383,-556.4
Department of Health,NHS Tower Hamlets CCG,31/01/2021,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,ST PAULS WAY MEDICAL CENTRE,35234289,28.89
Department of Health,NHS Tower Hamlets CCG,31/01/2021,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,ISLAND MEDICAL CENTRE,35234284,45.63
Department of Health,NHS Tower Hamlets CCG,31/01/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR N SELVAN,35351406,50.53
Department of Health,NHS Tower Hamlets CCG,31/01/2021,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,35234282,66.96
Department of Health,NHS Tower Hamlets CCG,31/01/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,LIMEHOUSE PRACTICE,35351422,139.92
Department of Health,NHS Tower Hamlets CCG,31/01/2021,C&M-GMS Prem Other,PRC DELEGATED CO-COMMISSIONING,BRAYFORD SQUARE SURGERY,35351444,141.67
Department of Health,NHS Tower Hamlets CCG,31/01/2021,C&M-APMS Prem Other,PRC DELEGATED CO-COMMISSIONING,POLLARD ROW SURGERY,35234285,169.16
Department of Health,NHS Tower Hamlets CCG,31/01/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DOCKLANDS MEDICAL CENTRE LONDON,35351404,203.41
Department of Health,NHS Tower Hamlets CCG,31/01/2021,Post Graduate Loan Payable,BALANCE SHEET,HMRC,35258383,254
Department of Health,NHS Tower Hamlets CCG,31/01/2021,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,STROUTS PLACE MEDICAL CENTRE,35351432,345.92
Department of Health,NHS Tower Hamlets CCG,31/01/2021,C&M-GMS Prem Other,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,35367294,392.5
Department of Health,NHS Tower Hamlets CCG,31/01/2021,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,POLLARD ROW SURGERY,35234285,432.35
Department of Health,NHS Tower Hamlets CCG,31/01/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,CITY WELLBEING PRACTICE,35351402,439.97
Department of Health,NHS Tower Hamlets CCG,31/01/2021,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,ST PAULS WAY MEDICAL CENTRE,35234289,457.5
Department of Health,NHS Tower Hamlets CCG,31/01/2021,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,MISSION PRACTICE,35351424,487.5
Department of Health,NHS Tower Hamlets CCG,31/01/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRAYFORD SQUARE SURGERY,35351444,491.06
Department of Health,NHS Tower Hamlets CCG,31/01/2021,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,ISLAND HEALTH,35351418,539.33
Department of Health,NHS Tower Hamlets CCG,31/01/2021,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ISLAND MEDICAL CENTRE,35234284,540.58
