query_string_n,verif_match
12 POINT CARE LIMITED,12 POINT CARE LIMITED
1ST CARE LIMITED,1ST CARE LIMITED
2020 DELIVERY LIMITED,2020 DELIVERY LIMITED
2020 TECHNOLOGIES LIMITED,2020 TECHNOLOGIES LIMITED
2GETHER NHS FOUNDATION TRUST,2GETHER NHS FOUNDATION TRUST
3 TREES COMMUNITY SUPPORT LIMITED,3 TREES COMMUNITY SUPPORT LIMITED
360 CARE LIMITED,360 CARE LIMITED
3C TECHNOLOGY LIMITED,3C TECHNOLOGY LIMITED
3L CARE LIMITED,3L CARE LIMITED
42ND STREET LIMITED,42ND STREET LIMITED
543 DENTAL CENTRE LIMITED,543 DENTAL CENTRE LIMITED
92 HIGHER DRIVE LIMITED,92 HIGHER DRIVE LIMITED
AA GLOBAL LANGUAGE SERVICES LIMITED,AA GLOBAL LANGUAGE SERVICES LIMITED
ABBEY CARE COMPLEX LIMITED,ABBEY CARE COMPLEX LIMITED
ABBEY FIELD MEDICAL CENTRE,ABBEY FIELD MEDICAL CENTRE
ABBEY LANE SURGERY,ABBEY LANE SURGERY
ABBEY MEDICAL CENTRE,ABBEY MEDICAL CENTRE
ABBEY WOOD SURGERY,ABBEY WOOD SURGERY
ABBOTS BROMLEY SURGERY,ABBOTS BROMLEY SURGERY
ABBOTT MEDICAL UK LIMITED,ABBOTT MEDICAL UK LIMITED
ABBOTTS CARE CENTRE LIMITED,ABBOTTS CARE CENTRE LIMITED
ABINGDON FAMILY HEALTH CARE CENTRE,ABINGDON FAMILY HEALTH CARE CENTRE
ABL HEALTH LIMITED,ABL HEALTH LIMITED
ABSOLUTE CARE HOMES CENTRAL LIMITED,ABSOLUTE CARE HOMES CENTRAL LIMITED
ABSOLUTELY CULTURED LIMITED,ABSOLUTELY CULTURED LIMITED
ACACIA NUMBER 1 LIMITED,ACACIA NUMBER 1 LIMITED
ACCELERUS LIMITED,ACCELERUS LIMITED
ACCENDA LIMITED,ACCENDA LIMITED
ACCOMPLISH GROUP SUPPORT LIMITED,ACCOMPLISH GROUP SUPPORT LIMITED
ACCOUNTABLE CARE ENTERPRISE LIMITED,ACCOUNTABLE CARE ENTERPRISE LIMITED
ACE COMMUNITY PRACTICE,ACE COMMUNITY PRACTICE
ACORN CARE AND EDUCATION LIMITED,ACORN CARE AND EDUCATION LIMITED
