InvoiceDistributionAmount,amount
amountï,amount
amountâ,amount
apamountps,amount
apamount,amount
gbpamount,amount
apnetamount,amount
apamountaps,amount
apamountoe,amount
invoiceamountgbp,amount
amountinsterling,amount
invoiceamount,amount
invoicelineamountnet,amount
paidamount,amount
finaltotal,amount
psamount,amount
billingamount,amount
total,amount
amountinclvat,amount
value,amount
£,amount
amountpss,amount
totalamount,amount
invoicelineamountnetgbp,amount
amountsterling,amount
sumofinvoicedistributionamount,amount
bppcamountps,amount
amountpublished,amount
invoicedistributionamount,amount
amounts,amount
sumofamount,amount
spend,amount
datepaid,date
paiddate,date
paymentdate,date
datepaidonstatement,date
posteddate,date
transactiondate,date
inputdate,date
dateofpayment,date
departmentalfamily,departmentfamily
deptartmentfamily,departmentfamily
department,departmentfamily
dep,departmentfamily
departmententity,departmentfamily
deptfamily,departmentfamily
descriptions,description
descriptionubmittedbyfbpdescriptionproposedtobepublished,description
descriptiontobepublished,description
amountps,amount
amounti,amount
amountaps,amount
totalps,amount
expensesarea,expensearea
expensearearev,expensearea
exparearev,expensearea
expenditurearea,expensearea
expenseareapublished,expensearea
expensesdescriptionpublishedforadminspendaboveonly,expensearea
expensetypepublished,expensetype
expensestype,expensetype
customerorsupplier,supplier
suppliername,supplier
merchantname,supplier
suppliernamepublished,supplier
Supplicer,supplier
suppliernamewithheld,supplier
invoicetransactionnumber,transactionnumber
refno,transactionnumber
referenceno,transactionnumber
transactionno,transactionnumber
transationnumber,transactionnumber
transactionsnumber,transactionnumber
paymenttransactionnumber,transactionnumber
trasnsactionnumber,transactionnumber
paymentnumber,transactionnumber
transref,transactionnumber
expenesetype,expensetype
expensetypet,expensetype
paydate,date
suppliert,supplier
expenseareat,expensearea
transdate,date
transno,transactionnumber
amountpaid,amount
allocationdate,date
totalgrossvalue,amount
amountincvatwhenpaidbycps,amount
amountincvatwhereappropriate,amount
nettamount,amount
reference,transactionnumber
