Dept Family,Organisation Name,Accounting Year,Period,Dater,Transaction Number,Supplier,VAT Registration Number,Expense Area,Expense type,Amount
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/07/2020,1393741,University College London,524371168,Rf:Cardiology,Other Non-Clinical Services,"224,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/07/2020,1426530,Siemens Financial Services Ltd,222438292,Rf:Radiology,Radiology Equipment,"31,560.55"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/07/2020,1430664,Philips Healthcare (Surrey),407850060,Tw:Patient Systems,Other Non-Clinical Supplies,"68,358.32"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/07/2020,1440946,Insight Direct (Uk) Ltd,,Tw:Telecommunications,Other Non-Clinical Supplies,"103,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/07/2020,1445750,Philips Healthcare (Surrey),407850060,Tw:Patient Systems,Other Non-Clinical Supplies,"68,358.32"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/07/2020,1448083,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"101,717.57"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/07/2020,1457657,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"101,717.57"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/07/2020,1463354,Utilyx Healthcare Energy Services Ltd,416706654,Rf:Energy,Rentals Operating Leases,"93,496.14"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/07/2020,1463355,Utilyx Healthcare Energy Services Ltd,416706654,Rf:Energy,Rentals Operating Leases,"93,496.14"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/07/2020,1464729,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"928,470.78"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,01/07/2020,1464731,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"928,470.78"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1385126,The Hillingdon Hospitals Nhs Ft,654925117,Rf:Mount Vernon,Other Non-Clinical Services,"54,073.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1411885,University College London,524371168,Tw:R+D Manager,Other Med - Recharge In,"27,597.34"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1412051,Synergy Health Managed Services Ltd,243829687,Bh:Bgh Linen,Catering Equipment,"61,716.61"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1438993,Siemens Financial Services Ltd,222438292,Rf:Itu 3/4,Rentals Operating Leases,"89,724.79"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1439214,Aquilant Endoscopy,753374618,Tw:Windfall Endoscopy Money,Med&Surg Equipment,"35,400.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1450044,Bevan Brittan Llp,840723148,Tw:Clinical Risk + Safety,Legal Costs,"42,857.16"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1450775,Leica Microsystems (Uk) Ltd,290756238,Rf:Mohs Lab Derma Ref No 287,Med&Surg Equipment,"26,953.61"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1452686,Keystream Healthcare Resources Ltd,105919025,Tw:Information Man And Tech,Other Non-Clinical Supplies,"45,281.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1453138,Castle Water Limited,189775040,Rf:Energy,Sewerage,"40,123.35"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1454973,Leica Microsystems (Uk) Ltd,290756238,Rf:Mohs Lab Derma Ref No 287,Med&Surg Equipment,"29,957.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1457356,Logan Construction (Se) Ltd,674915890,Rf:Nucmed Enabling Works,Consultancy Fees,"29,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1457499,Edf Energy Customers Plc,523041202,Rf:Energy,Electricity,"209,306.56"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1458316,Mace Group Limited,778468756,Tw:Nightingale Ward (Excel),Building Contracts,"607,065.52"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1458373,Supply Chain Coordination Ltd (Maintenance),290885854,Bh:Breast Screen,Radiology Equipment,"31,787.28"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1460852,Atalian Servest Security Limited,,Rf:Covid-19 (Surge),Serv Other Nhs Non-Clinical,"216,427.15"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1460955,Logan Construction (Se) Ltd,674915890,Rf: Enabling Works - Mri Unit,Building Contracts,"261,900.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1461138,Nhs Providers,143779190,Tw:Financial Director,Subscriptions,"25,865.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1463857,Draper & Dash Ltd,111252474,Tw:Information Management,It Service Contracts,"45,862.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1464639,Rfl Property Services Limited,,Rf:Ih Catering Patients,Ic Ih Catering Patients,"334,614.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1464751,W  & I Craig (Civil Engineering) Ltd,220702418,Rf:Corona Virus Assessment Pod,Building Contracts,"51,129.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,4,03/07/2020,1465585,Cfes Limited,876320218,Tw:Covid-19 Stp,Other Non-Clinical Supplies,"118,773.14"
